2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_green_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_light_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_light_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_lime_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_magenta_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_orange_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_pink_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_purple_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_red_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_tinted_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_white_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_bamboo_yellow_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_black_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_brown_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_cyan_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_green_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_light_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_light_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_lime_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_magenta_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_orange_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_pink_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_purple_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_red_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_tinted_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_white_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_birch_yellow_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_black_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_brown_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_cyan_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_green_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_light_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_light_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_lime_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_magenta_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_orange_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_pink_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_purple_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_red_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_tinted_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_white_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_cherry_yellow_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_black_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_brown_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_cyan_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_green_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_light_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_light_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_lime_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_magenta_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_orange_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_pink_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_purple_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:42 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_red_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_tinted_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_white_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_crimson_yellow_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_black_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_brown_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_cyan_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_gray_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_green_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_light_blue_stained_glass_large_oak_glass_flask.json
2026-01-24 06:50:43 | INFO | tools.utils.json_utils | Wrote JSON: C:/Users/Rasmu/Documents/Projects/0-Mods/TAoB/src/main/resources/assets/taob/models/item/flasks_large_dark_oak_light_gray_stained_glass_large_oak_glass_flask.json
